request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_39,71553.6,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 2026-06-15 before paying INR 208,600. That is the earliest date the full payment keeps at least INR 213,400 available."
request_40,437.76,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Wait until 2024-08-15 before paying EUR 1,290.30. That is the earliest date the full payment keeps at least EUR 1,500 available."
request_41,9901879.24,affordable_later,wait,2025-11-14:38760000,2025-11-14,none,"Wait until 2025-11-14 before paying IDR 38,760,000. That is the earliest date the full payment keeps at least IDR 25,366,600 available."
request_42,0,not_affordable,not_recommended,none,,none,"Paying INR 52,100 is not safe on 2026-01-05. At most INR 0 can be paid while keeping INR 113,100 available."
request_43,9141077.57,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 2024-11-15 before paying IDR 43,339,000. That is the earliest date the full payment keeps at least IDR 21,398,000 available."
request_44,39147.85,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 2025-04-15 before paying INR 95,800. That is the earliest date the full payment keeps at least INR 82,900 available."
request_45,5219582.58,affordable_later,wait,2026-08-14:21983000,2026-08-14,none,"Wait until 2026-08-14 before paying IDR 21,983,000. That is the earliest date the full payment keeps at least IDR 11,149,800 available."
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714, starting 2024-12-03. This keeps at least INR 84,000 available."
request_47,4816719.03,not_affordable,not_recommended,none,,none,"Paying IDR 38,114,000 is not safe on 2025-05-05. At most IDR 4,816,719.03 can be paid while keeping IDR 30,049,000 available."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 on 2026-07-25. This keeps at least INR 71,300 available."
request_49,15414779.95,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This keeps at least IDR 20,275,700 available."
request_50,0,not_affordable,not_recommended,none,,none,"Paying INR 43,900 is not safe on 2025-08-06. At most INR 0 can be paid while keeping INR 99,700 available."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 on 2026-01-03. This keeps at least IDR 7,811,000 available."
request_52,23435.25,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Wait until 2024-06-14 before paying INR 28,870. That is the earliest date the full payment keeps at least INR 41,500 available."
request_53,549.79,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,stop:event_4925,"Stop the delivery service plan, then use 3 installments of USD 589.06, starting 2025-11-21. This keeps at least USD 2,100 available."
request_54,4930.33,not_affordable,not_recommended,none,,none,"Paying ZAR 121,528 is not safe on 2026-07-04. At most ZAR 4,930.33 can be paid while keeping ZAR 37,000 available."
request_55,142999.99,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This keeps at least INR 124,300 available."
request_56,623.5,affordable_with_plan,partial_payment,2025-02-03:623.50|2025-02-14:258.06,2025-02-14,none,"Pay USD 623.50 on 2025-02-03 and the remaining USD 258.06 on 2025-02-14. This completes the full request and keeps USD 2,100 protected."
request_57,15761.81,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Wait until 2026-05-15 before paying ZAR 61,446. That is the earliest date the full payment keeps at least ZAR 42,700 available."
request_58,0,not_affordable,not_recommended,none,,none,"Paying IDR 16,226,000 is not safe on 2024-12-07. At most IDR 0 can be paid while keeping IDR 14,433,900 available."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This keeps at least INR 132,600 available."
request_60,0,not_affordable,not_recommended,none,,none,Paying USD 199.89 is not safe on 2026-01-06. At most USD 0 can be paid while keeping USD 400 available.
request_61,28935.84,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,,stop:event_5683|reduce_to:event_5715:784.30,"Stop the music service subscription and reduce the family dinner to ZAR 784.30, then use 3 installments of ZAR 10,074.83, starting 2024-03-17. This keeps at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 on 2025-08-05. This keeps at least USD 1,300 available."
request_63,47727.22,not_affordable,not_recommended,none,,none,"Paying INR 343,900 is not safe on 2026-07-07. At most INR 47,727.22 can be paid while keeping INR 153,500 available."
request_64,0,not_affordable,not_recommended,none,,none,"Paying INR 63,700 is not safe on 2024-06-04. At most INR 0 can be paid while keeping INR 36,100 available."
request_65,7357.31,not_affordable,not_recommended,none,,none,"Paying ZAR 54,340 is not safe on 2025-11-06. At most ZAR 7,357.31 can be paid while keeping ZAR 15,500 available."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 on 2026-04-03. This keeps at least INR 80,700 available."
request_67,464.2,affordable_later,wait,2024-09-13:2094,2024-09-13,none,"Wait until 2024-09-13 before paying USD 2,094. That is the earliest date the full payment keeps at least USD 1,200 available."
request_68,1518.91,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-14,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This keeps at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 on 2026-01-04. This keeps at least EUR 700 available.
request_70,52916.72,affordable_later,wait,2025-02-14:243900,2025-02-14,none,"Wait until 2025-02-14 before paying INR 243,900. That is the earliest date the full payment keeps at least INR 115,000 available."
request_71,675596.07,not_affordable,not_recommended,none,,none,"Paying IDR 21,451,000 is not safe on 2025-05-03. At most IDR 675,596.07 can be paid while keeping IDR 8,884,800 available."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 on 2026-07-05. This keeps at least ZAR 12,200 available."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 on 2023-01-20. This keeps at least INR 103,200 available."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 on 2025-08-04. This keeps at least ZAR 21,900 available."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. This keeps at least ZAR 39,000 available."
request_76,1073.85,not_affordable,not_recommended,none,,none,"Paying USD 4,455.60 is not safe on 2024-06-03. At most USD 1,073.85 can be paid while keeping USD 1,800 available."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 on 2025-11-05. This keeps at least INR 82,200 available."
request_78,43376.54,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Wait until 2025-10-15 before paying INR 50,200. That is the earliest date the full payment keeps at least INR 55,200 available."
request_79,858.34,affordable_with_plan,partial_payment,2024-09-04:858.34|2024-09-13:1293.26,2024-09-13,none,"Pay EUR 858.34 on 2024-09-04 and the remaining EUR 1,293.26 on 2024-09-13. This completes the full request and keeps EUR 1,000 protected."
request_80,23301.93,not_affordable,not_recommended,none,,none,"Paying INR 217,500 is not safe on 2025-02-06. At most INR 23,301.93 can be paid while keeping INR 121,300 available."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 on 2026-07-03. This keeps at least USD 1,600 available."
request_82,400.6,affordable_later,wait,2025-02-14:1405.20,2025-02-14,none,"Wait until 2025-02-14 before paying USD 1,405.20. That is the earliest date the full payment keeps at least USD 1,100 available."
request_83,11262.84,not_affordable,not_recommended,none,,none,"Paying INR 156,200 is not safe on 2025-05-07. At most INR 11,262.84 can be paid while keeping INR 37,800 available."
request_84,23527.58,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 2026-06-15 before paying INR 95,400. That is the earliest date the full payment keeps at least INR 91,300 available."
request_85,1026584.72,not_affordable,not_recommended,none,,none,"Paying IDR 19,304,000 is not safe on 2024-03-06. At most IDR 1,026,584.72 can be paid while keeping IDR 6,396,300 available."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 on 2025-08-03. This keeps at least INR 84,900 available."
request_87,17927.06,not_affordable,not_recommended,none,,none,"Paying INR 487,900 is not safe on 2026-01-05. At most INR 17,927.06 can be paid while keeping INR 185,900 available."
request_88,10693.53,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This keeps at least ZAR 25,800 available."
request_89,9892179.39,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This keeps at least IDR 12,534,700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 on 2026-07-06. This keeps at least ZAR 7,600 available."
request_91,739.68,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 2024-11-15 before paying EUR 1,927.20. That is the earliest date the full payment keeps at least EUR 2,100 available."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 on 2025-02-05. This keeps at least ZAR 28,100 available."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 on 2026-04-07. This keeps at least USD 1,900 available."
request_94,80.69,not_affordable,not_recommended,none,,none,Paying EUR 572 is not safe on 2024-12-04. At most EUR 80.69 can be paid while keeping EUR 600 available.
request_95,27096.29,not_affordable,not_recommended,none,,none,"Paying INR 553,000 is not safe on 2025-05-06. At most INR 27,096.29 can be paid while keeping INR 145,500 available."
request_96,72004.13,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-13,stop:event_8914,"Stop the food delivery membership, then use 3 installments of INR 31,269.33, starting 2026-01-10. This keeps at least INR 56,500 available."
request_97,1357.42,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This keeps at least ZAR 29,700 available."
request_98,10156.36,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Wait until 2025-09-15 before paying ZAR 27,148. That is the earliest date the full payment keeps at least ZAR 30,000 available."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 on 2026-07-04. This keeps at least ZAR 49,100 available."
request_100,26556.19,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This keeps at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 on 2025-11-03. This keeps at least INR 187,400 available."
request_102,1497.98,not_affordable,not_recommended,none,,none,"Paying EUR 1,716 is not safe on 2026-04-05. At most EUR 1,497.98 can be paid while keeping EUR 900 available."
request_103,23822.78,not_affordable,not_recommended,none,,none,"Paying INR 368,300 is not safe on 2024-09-07. At most INR 23,822.78 can be paid while keeping INR 125,500 available."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 on 2025-02-04. This keeps at least ZAR 24,700 available."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 on 2026-06-08. This keeps at least INR 73,900 available."
request_106,983.26,affordable_later,wait,2025-02-14:2207.70,2025-02-14,none,"Wait until 2025-02-14 before paying EUR 2,207.70. That is the earliest date the full payment keeps at least EUR 1,200 available."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,"Use 3 installments of EUR 878.59, starting 2025-05-08. This keeps at least EUR 1,600 available."
request_108,5054.4,affordable_later,wait,2026-09-15:55308,2026-09-15,none,"Wait until 2026-09-15 before paying ZAR 55,308. That is the earliest date the full payment keeps at least ZAR 24,100 available."
request_109,627.88,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This keeps at least EUR 1,700 available."
request_110,20508.57,not_affordable,not_recommended,none,,none,"Paying ZAR 22,352 is not safe on 2025-08-06. At most ZAR 20,508.57 can be paid while keeping ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 on 2026-04-03. This keeps at least IDR 23,022,800 available."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 on 2024-06-05. This keeps at least EUR 500 available.
request_113,21708.62,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Wait until 2026-10-15 before paying INR 36,500. That is the earliest date the full payment keeps at least INR 82,300 available."
request_114,0,not_affordable,not_recommended,none,,none,"Paying INR 65,300 is not safe on 2026-01-04. At most INR 0 can be paid while keeping INR 113,400 available."
request_115,19187.98,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 2024-11-15 before paying INR 80,500. That is the earliest date the full payment keeps at least INR 38,800 available."
request_116,20266.59,not_affordable,not_recommended,none,,none,"Paying INR 241,200 is not safe on 2025-02-03. At most INR 20,266.59 can be paid while keeping INR 80,300 available."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 on 2026-07-05. This keeps at least EUR 1,000 available."
request_118,669.79,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This keeps at least EUR 600 available."
request_119,56869.36,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-13,reduce_to:event_11016:2655|reduce_to:event_11057:2370,"Reduce the weekend entertainment to INR 2,655 and reduce the family dinner to INR 2,370, then use 3 installments of INR 70,546.67, starting 2025-05-18. This keeps at least INR 151,200 available."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 on 2026-04-06. This keeps at least IDR 20,050,300 available."
request_121,293.05,affordable_later,wait,2024-04-15:633.60,2024-04-15,none,Wait until 2024-04-15 before paying USD 633.60. That is the earliest date the full payment keeps at least USD 800 available.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This keeps at least IDR 12,588,500 available."
request_123,1990472.49,not_affordable,not_recommended,none,,none,"Paying IDR 4,076,000 is not safe on 2026-01-07. At most IDR 1,990,472.49 can be paid while keeping IDR 18,091,200 available."
request_124,1490.24,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This keeps at least EUR 1,600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 on 2025-11-06. This keeps at least ZAR 11,300 available."
request_126,49787.03,not_affordable,not_recommended,none,,none,"Paying INR 159,600 is not safe on 2026-07-03. At most INR 49,787.03 can be paid while keeping INR 129,700 available."
request_127,13977.6,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 2024-10-15 before paying ZAR 23,980. That is the earliest date the full payment keeps at least ZAR 41,000 available."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 on 2025-02-07. This keeps at least ZAR 42,600 available."
request_129,136.72,not_affordable,not_recommended,none,,none,"Paying USD 2,668.80 is not safe on 2026-04-04. At most USD 136.72 can be paid while keeping USD 800 available."
request_130,514.22,affordable_later,wait,2025-02-14:1978.80,2025-02-14,none,"Wait until 2025-02-14 before paying USD 1,978.80. That is the earliest date the full payment keeps at least USD 1,400 available."
request_131,1215.92,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-13,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This keeps at least USD 1,100 available."
request_132,0,not_affordable,not_recommended,none,,none,"Paying USD 379.86 is not safe on 2026-01-05. At most USD 0 can be paid while keeping USD 1,100 available."
request_133,0,not_affordable,not_recommended,none,,none,"Paying IDR 15,770,000 is not safe on 2024-03-07. At most IDR 0 can be paid while keeping IDR 9,986,200 available."
request_134,5785919.75,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 2025-10-15 before paying IDR 21,831,000. That is the earliest date the full payment keeps at least IDR 15,902,500 available."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 on 2026-07-06. This keeps at least USD 500 available.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 on 2024-06-03. This keeps at least USD 1,100 available."
request_137,39800.78,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Wait until 2026-01-15 before paying INR 80,100. That is the earliest date the full payment keeps at least INR 71,800 available."
request_138,987.44,affordable_with_plan,partial_payment,2026-04-07:987.44|2026-04-15:269.50,2026-04-15,none,"Pay EUR 987.44 on 2026-04-07 and the remaining EUR 269.50 on 2026-04-15. This completes the full request and keeps EUR 2,300 protected."
request_139,1877.5,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-13,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This keeps at least USD 1,500 available."
request_140,2581.2,not_affordable,not_recommended,none,,none,"Paying ZAR 62,832 is not safe on 2025-02-06. At most ZAR 2,581.20 can be paid while keeping ZAR 21,600 available."
request_141,20909.5,not_affordable,not_recommended,none,,none,"Paying INR 171,600 is not safe on 2026-01-03. At most INR 20,909.50 can be paid while keeping INR 67,300 available."
request_142,634.22,not_affordable,not_recommended,none,,none,"Paying USD 1,263.60 is not safe on 2024-12-05. At most USD 634.22 can be paid while keeping USD 1,700 available."
request_143,3302.42,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 2025-07-15 before paying ZAR 12,584. That is the earliest date the full payment keeps at least ZAR 11,300 available."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 on 2026-07-04. This keeps at least USD 600 available.
request_145,46920.24,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments of INR 75,365.33, starting 2024-03-20. This keeps at least INR 155,400 available."
request_146,20863.12,not_affordable,not_recommended,none,,none,"Paying INR 449,400 is not safe on 2025-08-03. At most INR 20,863.12 can be paid while keeping INR 108,600 available."
request_147,0,not_affordable,not_recommended,none,,none,"Paying EUR 1,129.70 is not safe on 2026-04-05. At most EUR 0 can be paid while keeping EUR 900 available."
request_148,8294.41,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. This keeps at least ZAR 20,000 available."
request_149,25686.54,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This keeps at least ZAR 42,100 available."
request_150,0,not_affordable,not_recommended,none,,none,Paying EUR 496.10 is not safe on 2026-01-06. At most EUR 0 can be paid while keeping EUR 700 available.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 on 2024-09-03. This keeps at least IDR 31,633,600 available."
request_152,12109.85,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-14,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. This keeps at least ZAR 11,900 available."
request_153,196.59,not_affordable,not_recommended,none,,none,"Paying USD 2,830.80 is not safe on 2026-07-07. At most USD 196.59 can be paid while keeping USD 1,400 available."
request_154,0,not_affordable,not_recommended,none,,none,"Paying EUR 1,625.80 is not safe on 2024-12-04. At most EUR 0 can be paid while keeping EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 on 2025-05-06. This keeps at least INR 56,300 available."
request_156,6406.69,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 2026-06-15 before paying ZAR 43,076. That is the earliest date the full payment keeps at least ZAR 26,900 available."
request_157,6540497.53,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 2024-05-15 before paying IDR 23,503,000. That is the earliest date the full payment keeps at least IDR 15,714,100 available."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This keeps at least INR 131,400 available."
request_159,252.22,not_affordable,not_recommended,none,,none,"Paying ZAR 13,398 is not safe on 2026-01-04. At most ZAR 252.22 can be paid while keeping ZAR 8,700 available."
request_160,582.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This keeps at least EUR 1,200 available."
request_161,8623808.59,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Wait until 2026-01-15 before paying IDR 21,204,000. That is the earliest date the full payment keeps at least IDR 23,010,400 available."
request_162,722708.29,not_affordable,not_recommended,none,,none,"Paying IDR 83,923,000 is not safe on 2026-07-05. At most IDR 722,708.29 can be paid while keeping IDR 24,161,100 available."
request_163,14247560.01,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,"Use 3 installments of IDR 6,692,053.33, starting 2024-09-10. This keeps at least IDR 26,728,700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This keeps at least IDR 29,550,500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 on 2026-04-06. This keeps at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,reduce_to:event_15208:29.50,"Reduce the family streaming plan to USD 29.50, then use 3 installments of USD 1,007.97, starting 2024-12-03. This keeps at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 on 2025-05-05. This keeps at least ZAR 31,200 available."
request_168,0,not_affordable,not_recommended,none,,none,"Paying INR 49,380 is not safe on 2026-01-07. At most INR 0 can be paid while keeping INR 114,400 available."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 on 2024-03-04. This keeps at least ZAR 18,700 available."
request_170,33327392.63,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. This keeps at least IDR 24,715,800 available."
request_171,40.86,not_affordable,not_recommended,none,,none,"Paying EUR 1,878.80 is not safe on 2026-07-03. At most EUR 40.86 can be paid while keeping EUR 500 available."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304, starting 2024-06-05. This keeps at least ZAR 27,200 available."
request_173,65350.82,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21. This keeps at least INR 79,100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This keeps at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 on 2024-09-06. This keeps at least EUR 1,700 available."
request_176,187.56,not_affordable,not_recommended,none,,none,"Paying EUR 1,239.70 is not safe on 2025-02-03. At most EUR 187.56 can be paid while keeping EUR 600 available."
request_177,0,not_affordable,not_recommended,none,,none,"Paying USD 1,017.60 is not safe on 2026-01-05. At most USD 0 can be paid while keeping USD 1,300 available."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This keeps at least EUR 1,400 available."
request_179,6510107.62,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15 before paying IDR 41,648,000. That is the earliest date the full payment keeps at least IDR 41,430,800 available."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 on 2026-07-06. This keeps at least INR 37,300 available."
